,2025-12-31,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-147782000000.0,-42012000000.0,12974000000.0,107119000000.0,
Repurchase Of Capital Stock,-34591000000.0,-28680000000.0,-9824000000.0,-10596000000.0,
Repayment Of Debt,-108100000000.0,-96605000000.0,-64880000000.0,-45556000000.0,
Issuance Of Debt,120761000000.0,109915000000.0,75417000000.0,78442000000.0,
Issuance Of Capital Stock,3000000000.0,2500000000.0,0.0,0.0,
Interest Paid Supplemental Data,96436000000.0,99642000000.0,77114000000.0,23143000000.0,
Income Tax Paid Supplemental Data,5309000000.0,11715000000.0,9908000000.0,4355000000.0,
End Cash Position,343338000000.0,469317000000.0,624151000000.0,567234000000.0,
Beginning Cash Position,469317000000.0,624151000000.0,567234000000.0,740834000000.0,
Effect Of Exchange Rate Changes,17835000000.0,-12866000000.0,1871000000.0,-16643000000.0,
Changes In Cash,-143814000000.0,-141968000000.0,55046000000.0,-156957000000.0,
Financing Cash Flow,269533000000.0,63447000000.0,-25571000000.0,-126257000000.0,
Cash Flow From Continuing Financing Activities,269533000000.0,63447000000.0,-25571000000.0,-126257000000.0,
Net Other Financing Charges,-3037000000.0,74000000.0,7508000000.0,2439000000.0,
Cash Dividends Paid,-16625000000.0,-14783000000.0,-13463000000.0,-13562000000.0,
Net Preferred Stock Issuance,0.0,-7350000000.0,0.0,-7434000000.0,
Preferred Stock Payments,-3000000000.0,-9850000000.0,0.0,-7434000000.0,
Preferred Stock Issuance,3000000000.0,2500000000.0,0.0,0.0,
Net Common Stock Issuance,-31591000000.0,-18830000000.0,-9824000000.0,-3162000000.0,
Common Stock Payments,-31591000000.0,-18830000000.0,-9824000000.0,-3162000000.0,
Net Issuance Payments Of Debt,22083000000.0,20749000000.0,8603000000.0,23902000000.0,
Net Short Term Debt Issuance,9422000000.0,7439000000.0,-1934000000.0,-8984000000.0,
Net Long Term Debt Issuance,12661000000.0,13310000000.0,10537000000.0,32886000000.0,
Long Term Debt Payments,-108100000000.0,-96605000000.0,-64880000000.0,-45556000000.0,
Long Term Debt Issuance,120761000000.0,109915000000.0,75417000000.0,78442000000.0,
Investing Cash Flow,-265565000000.0,-163403000000.0,67643000000.0,-137819000000.0,
Cash Flow From Continuing Investing Activities,-265565000000.0,-163403000000.0,67643000000.0,-137819000000.0,
Net Other Investing Changes,-12665000000.0,-2146000000.0,-16740000000.0,-11932000000.0,
Net Investment Purchase And Sale,-80704000000.0,-114934000000.0,95594000000.0,12467000000.0,
Sale Of Investment,233500000000.0,242487000000.0,215234000000.0,172401000000.0,
Purchase Of Investment,-314204000000.0,-357421000000.0,-119640000000.0,-159934000000.0,
Net Business Purchase And Sale,0.0,-2362000000.0,-9920000000.0,0.0,
Purchase Of Business,0.0,-2362000000.0,-9920000000.0,0.0,
Operating Cash Flow,-147782000000.0,-42012000000.0,12974000000.0,107119000000.0,
Cash Flow From Continuing Operating Activities,-147782000000.0,-42012000000.0,12974000000.0,107119000000.0,
Change In Working Capital,-218801000000.0,-114220000000.0,-56168000000.0,32686000000.0,
Change In Other Working Capital,-199975000000.0,-112215000000.0,-83678000000.0,-76000000.0,
Change In Other Current Assets,-12582000000.0,-7650000000.0,32970000000.0,-2882000000.0,
Change In Payables And Accrued Expense,5270000000.0,-90000000.0,-25388000000.0,58614000000.0,
Change In Payable,5270000000.0,-90000000.0,-25388000000.0,58614000000.0,
Change In Account Payable,5270000000.0,-90000000.0,-25388000000.0,58614000000.0,
Change In Receivables,-11514000000.0,5735000000.0,19928000000.0,-22970000000.0,
Changes In Account Receivables,-11514000000.0,5735000000.0,19928000000.0,-22970000000.0,
Other Non Cash Items,-14673000000.0,1107000000.0,7292000000.0,26055000000.0,
Deferred Tax,5611000000.0,2004000000.0,-4534000000.0,-2738000000.0,
Deferred Income Tax,5611000000.0,2004000000.0,-4534000000.0,-2738000000.0,
Depreciation Amortization Depletion,8821000000.0,7938000000.0,7512000000.0,7051000000.0,
Depreciation And Amortization,8821000000.0,7938000000.0,7512000000.0,7051000000.0,
Operating Gains Losses,,-7990000000.0,-2775000000.0,,
Gain Loss On Investment Securities,0.0,-7990000000.0,0.0,0.0,
Gain Loss On Sale Of Business,,,-2775000000.0,0.0,0.0
Net Income From Continuing Operations,57048000000.0,58471000000.0,49552000000.0,37676000000.0,
